champion,patch,id_postaci
Seraphine,15.05,802
Fiddlesticks,15.06,803
Gangplank,15.06,804
Nunu & Willump,15.06,805
Sett,15.06,806
Pyke,15.06,807
Kassadin,15.06,808
Swain,15.06,809
Urgot,15.06,810
Kayle,15.06,811
Vex,15.06,812
Vayne,15.06,813
Warwick,15.06,814
Cho'Gath,15.06,815
Taric,15.06,816
Zac,15.06,817
Darius,15.06,818
Rek'Sai,15.06,819
Dr. Mundo,15.06,820
Mel,15.06,821
Ekko,15.05,822
Kog'Maw,15.06,823
Zilean,15.06,824
Bel'Veth,15.06,825
Kennen,15.06,826
Singed,15.06,827
Tahm Kench,15.06,828
Zed,15.06,829
Annie,15.06,830
Volibear,15.06,831
Rengar,15.06,832
Xerath,15.06,833
Teemo,15.06,834
Ekko,15.06,835
Riven,15.06,836
Quinn,15.06,837
Veigar,15.06,838
Twitch,15.06,839
Morgana,15.06,840
Amumu,15.06,841
Vel'Koz,15.06,842
Kled,15.06,843
Irelia,15.06,844
Talon,15.06,845
Garen,15.06,846
Milio,15.06,847
Fiora,15.06,848
Anivia,15.06,849
Aurelion Sol,15.06,850
K'Sante,15.07,851
Bel'Veth,15.07,852
Galio,15.07,853
Jinx,15.07,854
Rakan,15.07,855
Rumble,15.07,856
Skarner,15.07,857
Tryndamere,15.07,858
Tristana,15.07,859
Braum,15.07,860
,15.07,861
Gwen,15.07,862
Wukong,15.07,863
Taliyah,15.07,864
Varus,15.07,865
Rell,15.07,866
Jayce,15.07,867
Pantheon,15.07,868
Mel,15.07,869
Ezreal,15.07,870
Leona,15.07,871
Aatrox,15.07,872
Naafiri,15.07,873
Ahri,15.07,874
Gragas,15.07,875
Kayn,15.07,876
Ambessa,15.07,877
Kai'Sa,15.07,878
Poppy,15.07,879
Nocturne,15.07,880
Ryze,15.07,881
Alistar,15.07,882
Xin Zhao,15.07,883
Lillia,15.07,884
Akali,15.07,885
Vi,15.07,886
Azir,15.07,887
Zyra,15.07,888
Jhin,15.07,889
Corki,15.07,890
Syndra,15.07,891
Hwei,15.07,892
Gnar,15.07,893
Karma,15.07,894
Jax,15.07,895
Jarvan Iv,15.07,896
Bard,15.07,897
Maokai,15.07,898
Yone,15.07,899
Urgot,15.07,900
Volibear,15.07,901
Aurelion Sol,15.07,902
Renata Glasc,15.07,903
Kennen,15.07,904
Viego,15.07,905
Lissandra,15.07,906
Leblanc,15.07,907
Talon,15.07,908
Shen,15.07,909
Ziggs,15.07,910
Pyke,15.07,911
Yorick,15.07,912
Caitlyn,15.07,913
Cho'Gath,15.07,914
Amumu,15.07,915
Milio,15.07,916
Xayah,15.07,917
Ashe,15.07,918
Renekton,15.07,919
Sylas,15.07,920
Ivern,15.07,921
Nilah,15.07,922
Taric,15.07,923
Lucian,15.07,924
Nami,15.07,925
Soraka,15.07,926
Dr. Mundo,15.07,927
Sivir,15.07,928
Malphite,15.07,929
Shyvana,15.07,930
Anivia,15.07,931
Viktor,15.07,932
Blitzcrank,15.07,933
Camille,15.07,934
Orianna,15.07,935
Ornn,15.07,936
Rengar,15.07,937
Nidalee,15.07,938
Kassadin,15.07,939
Miss Fortune,15.07,940
Sejuani,15.07,941
Kalista,15.07,942
Nautilus,15.07,943
Neeko,15.07,944
Lulu,15.07,945
Vex,15.07,946
Aurora,15.07,947
Draven,15.07,948
Master Yi,15.06,949
Lee Sin,15.07,950
Irelia,15.07,951
Yuumi,15.07,952
Sion,15.07,953
Mordekaiser,15.07,954
Yasuo,15.07,955
Vladimir,15.07,956
Riven,15.07,957
Brand,15.07,958
Veigar,15.07,959
Gangplank,15.07,960
Trundle,15.07,961
Zeri,15.07,962
Kindred,15.07,963
Elise,15.07,964
Olaf,15.07,965
Shaco,15.07,966
Malzahar,15.07,967
Fiora,15.07,968
Darius,15.07,969
Rek'Sai,15.07,970
Sett,15.07,971
Udyr,15.07,972
Thresh,15.07,973
Swain,15.07,974
Fiddlesticks,15.07,975
Lux,15.07,976
Janna,15.07,977
Morgana,15.07,978
Warwick,15.07,979
